"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,316,591.714","543,353.083","00 18 54.18","0.99962314","N/A"
"UTM Zone 10","4,326,836.781","534,824.630","00 15 14.07","0.99961493","N/A"
"UTM Zone 10","4,333,678.352","529,963.197","00 13 08.20","0.99961105","N/A"
"UTM Zone 10","4,340,758.603","521,105.493","00 09 16.46","0.99960548","N/A"
"UTM Zone 10","4,348,197.232","516,184.318","00 07 07.73","0.99960322","N/A"
"UTM Zone 10","4,355,635.762","511,262.422","00 04 58.36","0.99960156","N/A"
"UTM Zone 10","4,360,915.470","506,909.058","00 03 03.34","0.99960059","N/A"
"UTM Zone 10","4,368,536.513","503,825.327","00 01 41.76","0.99960018","N/A"
"UTM Zone 10","4,374,748.262","499,754.669","-00 00 06.54","0.99960000","N/A"
"UTM Zone 10","4,380,959.995","495,683.550","-00 01 55.28","0.99960023","N/A"
"UTM Zone 10","4,388,919.868","489,659.260","-00 04 36.88","0.99960132","N/A"
"UTM Zone 10","4,393,911.357","486,458.484","-00 06 03.16","0.99960226","N/A"
"UTM Zone 10","4,396,745.414","481,392.177","-00 08 19.47","0.99960426","N/A"
"UTM Zone 10","4,400,578.530","478,946.309","-00 09 25.82","0.99960546","N/A"
"UTM Zone 10","4,406,207.326","475,379.302","-00 11 02.87","0.99960746","N/A"
"UTM Zone 10","4,416,718.808","471,027.724","-00 13 02.65","0.99961033","N/A"
"UTM Zone 10","4,423,721.242","466,174.984","-00 15 15.78","0.99961408","N/A"
"UTM Zone 10","4,431,212.124","462,625.506","-00 16 54.29","0.99961720","N/A"
"UTM Zone 10","4,436,415.282","463,825.216","-00 16 23.36","0.99961611","N/A"
"UTM Zone 10","4,446,829.251","461,723.201","-00 17 23.96","0.99961804","N/A"
"UTM Zone 10","4,450,883.540","458,245.113","-00 19 00.29","0.99962146","N/A"
