"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,102,674.850","632,582.806","00 53 55.85","0.99981654","N/A"
"UTM Zone 10","4,106,439.990","630,651.583","00 53 12.66","0.99981028","N/A"
"UTM Zone 10","4,110,659.770","627,870.115","00 52 09.03","0.99980142","N/A"
"UTM Zone 10","4,114,973.172","624,085.630","00 50 40.73","0.99978967","N/A"
"UTM Zone 10","4,121,673.295","619,007.340","00 48 42.72","0.99977446","N/A"
"UTM Zone 10","4,128,778.068","616,679.665","00 47 52.21","0.99976770","N/A"
"UTM Zone 10","4,130,834.434","615,648.631","00 47 28.75","0.99976475","N/A"
"UTM Zone 10","4,137,317.525","611,590.712","00 45 54.63","0.99975339","N/A"
"UTM Zone 10","4,139,731.818","609,890.524","00 45 14.81","0.99974875","N/A"
"UTM Zone 10","4,143,379.161","606,544.414","00 43 55.30","0.99973983","N/A"
"UTM Zone 10","4,145,356.720","605,333.650","00 43 27.03","0.99973667","N/A"
"UTM Zone 10","4,146,286.471","604,970.713","00 43 18.84","0.99973573","N/A"
