"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,146,286.471","604,970.713","00 43 18.84","0.99973573","N/A"
"UTM Zone 10","4,152,035.408","602,731.608","00 42 28.18","0.99973000","N/A"
"UTM Zone 10","4,154,713.175","601,661.956","00 42 03.85","0.99972730","N/A"
"UTM Zone 10","4,159,741.621","600,158.221","00 41 30.60","0.99972356","N/A"
"UTM Zone 10","4,162,087.971","599,279.661","00 41 10.64","0.99972140","N/A"
"UTM Zone 10","4,166,438.306","596,788.530","00 40 12.07","0.99971539","N/A"
"UTM Zone 10","4,170,170.532","595,009.075","00 39 30.60","0.99971118","N/A"
"UTM Zone 10","4,175,589.033","593,064.046","00 38 46.17","0.99970668","N/A"
"UTM Zone 10","4,178,110.928","591,744.719","00 38 15.08","0.99970367","N/A"
"UTM Zone 10","4,179,787.268","590,508.576","00 37 45.39","0.99970090","N/A"
"UTM Zone 10","4,182,183.237","589,615.645","00 37 24.79","0.99969892","N/A"
"UTM Zone 10","4,184,393.925","588,614.269","00 37 01.30","0.99969672","N/A"
"UTM Zone 10","4,185,486.401","587,736.249","00 36 40.08","0.99969481","N/A"
"UTM Zone 10","4,186,574.750","586,563.632","00 36 11.45","0.99969229","N/A"
"UTM Zone 10","4,189,414.156","584,304.046","00 35 16.72","0.99968754","N/A"
