"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,390,058.062","612,690.876","00 50 17.89","0.99975635","N/A"
"UTM Zone 10","4,392,889.966","610,854.034","00 49 31.41","0.99975129","N/A"
"UTM Zone 10","4,395,430.870","609,291.040","00 48 51.90","0.99974705","N/A"
"UTM Zone 10","4,396,842.413","608,391.329","00 48 29.09","0.99974464","N/A"
"UTM Zone 10","4,399,902.016","606,495.320","00 47 41.01","0.99973963","N/A"
"UTM Zone 10","4,401,756.508","605,413.171","00 47 13.63","0.99973680","N/A"
"UTM Zone 10","4,404,473.798","603,847.872","00 46 33.98","0.99973277","N/A"
"UTM Zone 10","4,407,571.594","602,157.858","00 45 51.25","0.99972848","N/A"
"UTM Zone 10","4,410,057.465","600,928.228","00 45 20.30","0.99972541","N/A"
"UTM Zone 10","4,413,040.758","599,436.234","00 44 42.65","0.99972172","N/A"
"UTM Zone 10","4,415,876.186","597,992.584","00 44 06.10","0.99971822","N/A"
"UTM Zone 10","4,417,586.448","597,091.723","00 43 43.21","0.99971605","N/A"
"UTM Zone 10","4,420,557.746","595,561.724","00 43 04.34","0.99971242","N/A"
"UTM Zone 10","4,423,587.110","593,856.180","00 42 20.68","0.99970844","N/A"
"UTM Zone 10","4,428,324.962","591,296.306","00 41 15.13","0.99970261","N/A"
"UTM Zone 10","4,430,054.484","590,459.556","00 40 53.81","0.99970074","N/A"
"UTM Zone 10","4,433,159.706","588,599.329","00 40 05.74","0.99969663","N/A"
"UTM Zone 10","4,441,189.123","583,421.781","00 37 50.98","0.99968567","N/A"
"UTM Zone 10","4,448,781.937","577,671.215","00 35 19.58","0.99967426","N/A"
