"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,445,784.592","565,962.995","00 29 58.40","0.99965356","N/A"
"UTM Zone 10","4,439,621.127","567,035.294","00 30 24.05","0.99965532","N/A"
"UTM Zone 10","4,433,603.941","567,313.683","00 30 28.11","0.99965578","N/A"
"UTM Zone 10","4,425,658.769","568,218.358","00 30 47.99","0.99965729","N/A"
"UTM Zone 10","4,420,561.210","568,541.727","00 30 53.73","0.99965783","N/A"
"UTM Zone 10","4,406,255.659","568,783.132","00 30 51.79","0.99965824","N/A"
"UTM Zone 10","4,396,402.360","568,767.789","00 30 45.56","0.99965822","N/A"
"UTM Zone 10","4,394,798.403","568,635.523","00 30 41.07","0.99965800","N/A"
"UTM Zone 10","4,392,729.399","568,877.829","00 30 46.35","0.99965841","N/A"
"UTM Zone 10","4,391,755.191","569,161.884","00 30 53.38","0.99965889","N/A"
"UTM Zone 10","4,390,532.391","569,817.138","00 31 10.21","0.99966001","N/A"
"UTM Zone 10","4,389,486.230","570,604.827","00 31 30.67","0.99966137","N/A"
"UTM Zone 10","4,385,780.560","572,918.738","00 32 30.32","0.99966546","N/A"
"UTM Zone 10","4,383,643.029","573,992.522","00 32 57.68","0.99966740","N/A"
"UTM Zone 10","4,382,009.620","574,614.526","00 33 13.26","0.99966854","N/A"
"UTM Zone 10","4,380,743.383","574,980.664","00 33 22.23","0.99966922","N/A"
