"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,189,414.536","584,340.998","00 35 17.65","0.99968761","N/A"
"UTM Zone 10","4,191,360.250","582,644.327","00 34 36.37","0.99968412","N/A"
"UTM Zone 10","4,196,022.778","581,290.899","00 34 05.46","0.99968139","N/A"
"UTM Zone 10","4,196,822.483","580,693.974","00 33 50.97","0.99968020","N/A"
"UTM Zone 10","4,197,511.163","579,859.156","00 33 30.41","0.99967855","N/A"
"UTM Zone 10","4,199,297.526","578,810.881","00 33 05.17","0.99967650","N/A"
"UTM Zone 10","4,200,713.629","577,436.194","00 32 31.44","0.99967385","N/A"
"UTM Zone 10","4,202,713.983","573,921.937","00 31 04.10","0.99966730","N/A"
"UTM Zone 10","4,203,786.749","573,029.529","00 30 42.24","0.99966569","N/A"
"UTM Zone 10","4,207,337.064","570,700.256","00 29 45.54","0.99966156","N/A"
"UTM Zone 10","4,208,523.168","570,303.754","00 29 36.21","0.99966087","N/A"
"UTM Zone 10","4,212,426.304","566,669.382","00 28 06.53","0.99965474","N/A"
"UTM Zone 10","4,213,137.050","566,332.831","00 27 58.40","0.99965419","N/A"
"UTM Zone 10","4,214,544.549","566,119.634","00 27 53.77","0.99965384","N/A"
"UTM Zone 10","4,215,836.365","565,319.850","00 27 34.22","0.99965255","N/A"
"UTM Zone 10","4,217,071.033","564,299.800","00 27 09.04","0.99965092","N/A"
"UTM Zone 10","4,218,890.969","563,184.334","00 26 41.72","0.99964917","N/A"
"UTM Zone 10","4,219,874.812","562,846.232","00 26 33.66","0.99964864","N/A"
