"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","3,859,258.247","706,062.486","01 17 19.00","1.00012337","N/A"
"UTM Zone 10","3,863,465.656","704,138.984","01 16 42.22","1.00011364","N/A"
"UTM Zone 10","3,867,943.652","701,388.579","01 15 47.09","1.00009988","N/A"
"UTM Zone 10","3,872,515.792","700,374.253","01 15 31.13","1.00009486","N/A"
"UTM Zone 10","3,880,389.047","697,554.398","01 14 39.20","1.00008102","N/A"
"UTM Zone 10","3,887,159.031","694,488.984","01 13 39.74","1.00006620","N/A"
"UTM Zone 10","3,890,949.512","693,222.690","01 13 16.55","1.00006014","N/A"
"UTM Zone 10","3,897,907.794","689,610.316","01 12 04.45","1.00004309","N/A"
"UTM Zone 10","3,910,136.488","684,283.604","01 10 20.23","1.00001853","N/A"
"UTM Zone 10","3,914,211.124","681,542.810","01 09 23.15","1.00000617","N/A"
"UTM Zone 10","3,921,529.979","677,398.168","01 07 58.10","0.99998783","N/A"
"UTM Zone 10","3,925,136.155","675,692.483","01 07 23.77","0.99998041","N/A"
"UTM Zone 10","3,930,390.668","673,139.354","01 06 32.01","0.99996943","N/A"
"UTM Zone 10","3,941,445.253","666,853.123","01 04 21.32","0.99994308","N/A"
"UTM Zone 10","3,946,886.699","663,490.740","01 03 10.39","0.99992939","N/A"
"UTM Zone 10","3,952,156.123","659,139.800","01 01 36.04","0.99991208","N/A"
"UTM Zone 10","3,956,876.068","654,984.454","01 00 05.22","0.99989599","N/A"
"UTM Zone 10","3,959,575.354","651,953.053","00 58 57.91","0.99988453","N/A"
"UTM Zone 10","3,962,078.455","647,751.595","00 57 22.99","0.99986901","N/A"
"UTM Zone 10","3,966,869.381","642,883.003","00 55 34.88","0.99985157","N/A"
"UTM Zone 10","3,969,780.517","639,674.785","00 54 23.18","0.99984040","N/A"
"UTM Zone 10","3,973,305.581","635,917.518","00 52 59.15","0.99982763","N/A"
"UTM Zone 10","3,977,056.358","633,784.168","00 52 13.16","0.99982054","N/A"
"UTM Zone 10","3,981,356.288","629,750.292","00 50 43.05","0.99980744","N/A"
"UTM Zone 10","3,991,136.379","622,138.039","00 47 53.85","0.99978381","N/A"
"UTM Zone 10","4,000,914.868","614,523.213","00 45 03.45","0.99976160","N/A"
