"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,261,343.501","530,760.872","00 13 10.58","0.99961165","N/A"
"UTM Zone 10","4,267,777.273","526,567.239","00 11 24.22","0.99960869","N/A"
"UTM Zone 10","4,274,210.835","522,372.972","00 09 37.40","0.99960616","N/A"
"UTM Zone 10","4,281,401.943","517,229.710","00 07 25.69","0.99960366","N/A"
"UTM Zone 10","4,288,863.212","510,438.983","00 04 30.68","0.99960134","N/A"
"UTM Zone 10","4,296,324.666","503,647.138","00 01 34.80","0.99960016","N/A"
"UTM Zone 10","4,307,524.785","498,200.377","-00 00 46.94","0.99960004","N/A"
"UTM Zone 10","4,318,724.133","492,752.326","-00 03 09.74","0.99960065","N/A"
"UTM Zone 10","4,328,850.891","487,690.965","-00 05 23.30","0.99960187","N/A"
"UTM Zone 10","4,338,977.138","482,628.583","-00 07 37.75","0.99960372","N/A"
"UTM Zone 10","4,344,672.104","479,981.913","-00 08 48.45","0.99960493","N/A"
"UTM Zone 10","4,349,390.430","477,299.209","-00 10 00.18","0.99960634","N/A"
"UTM Zone 10","4,360,719.377","470,315.206","-00 13 07.67","0.99961085","N/A"
"UTM Zone 10","4,365,234.736","467,652.567","-00 14 19.56","0.99961288","N/A"
"UTM Zone 10","4,375,893.496","462,634.254","-00 16 36.30","0.99961719","N/A"
"UTM Zone 10","4,386,551.850","457,615.031","-00 18 53.98","0.99962212","N/A"
"UTM Zone 10","4,397,209.847","452,594.934","-00 21 12.61","0.99962767","N/A"
"UTM Zone 10","4,403,929.308","448,853.268","-00 22 56.00","0.99963221","N/A"
"UTM Zone 10","4,410,648.755","445,111.214","-00 24 39.83","0.99963709","N/A"
