"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,024,651.805","634,305.822","00 53 15.13","0.99982225","N/A"
"UTM Zone 10","4,029,250.488","625,924.779","00 50 00.36","0.99979537","N/A"
"UTM Zone 10","4,033,458.851","621,096.728","00 48 09.36","0.99978067","N/A"
"UTM Zone 10","4,036,744.983","613,307.081","00 45 06.49","0.99975818","N/A"
"UTM Zone 10","4,043,087.721","607,395.757","00 42 50.68","0.99974210","N/A"
"UTM Zone 10","4,049,429.962","601,483.239","00 40 34.25","0.99972688","N/A"
"UTM Zone 10","4,062,041.910","594,872.206","00 38 05.15","0.99971089","N/A"
"UTM Zone 10","4,074,651.437","588,258.405","00 35 34.68","0.99969596","N/A"
"UTM Zone 10","4,080,575.701","583,223.687","00 33 36.83","0.99968533","N/A"
"UTM Zone 10","4,086,499.589","578,188.056","00 31 38.50","0.99967531","N/A"
