"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,196,472.333","513,798.193","00 05 47.27","0.99960234","N/A"
"UTM Zone 10","4,199,915.584","507,224.787","00 03 02.04","0.99960064","N/A"
"UTM Zone 10","4,201,636.173","505,447.975","00 02 17.34","0.99960037","N/A"
"UTM Zone 10","4,202,594.443","497,594.284","-00 01 00.67","0.99960007","N/A"
"UTM Zone 10","4,209,408.257","491,203.676","-00 03 42.32","0.99960095","N/A"
"UTM Zone 10","4,216,222.148","484,811.983","-00 06 24.70","0.99960284","N/A"
"UTM Zone 10","4,226,295.369","479,450.899","-00 08 42.19","0.99960520","N/A"
"UTM Zone 10","4,233,358.254","477,591.925","-00 09 30.73","0.99960618","N/A"
"UTM Zone 10","4,240,420.611","475,732.663","-00 10 19.50","0.99960725","N/A"
"UTM Zone 10","4,252,631.832","471,024.975","-00 12 22.60","0.99961034","N/A"
"UTM Zone 10","4,260,029.983","470,042.566","-00 12 49.61","0.99961105","N/A"
