"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,093,760.288","567,387.759","00 27 20.18","0.99965594","N/A"
"UTM Zone 10","4,089,608.915","574,438.151","00 30 09.30","0.99966826","N/A"
"UTM Zone 10","4,085,457.755","581,487.728","00 32 57.93","0.99968180","N/A"
"UTM Zone 10","4,077,747.225","587,217.802","00 35 11.65","0.99969371","N/A"
"UTM Zone 10","4,073,229.930","590,036.129","00 36 16.65","0.99969987","N/A"
"UTM Zone 10","4,065,003.023","598,567.979","00 39 36.45","0.99971969","N/A"
"UTM Zone 10","4,061,836.419","606,078.259","00 42 34.82","0.99973863","N/A"
"UTM Zone 10","4,059,472.340","610,492.209","00 44 19.03","0.99975041","N/A"
"UTM Zone 10","4,056,525.965","616,813.717","00 46 48.40","0.99976811","N/A"
"UTM Zone 10","4,049,317.236","622,476.897","00 48 57.54","0.99978481","N/A"
"UTM Zone 10","4,047,338.793","627,812.062","00 51 03.46","0.99980126","N/A"
"UTM Zone 10","4,038,855.744","633,583.673","00 53 12.83","0.99981986","N/A"
"UTM Zone 10","4,033,556.577","637,705.668","00 54 45.58","0.99983364","N/A"
"UTM Zone 10","4,025,044.320","647,335.001","00 58 25.38","0.99986746","N/A"
"UTM Zone 10","4,014,848.501","652,217.723","01 00 09.35","0.99988549","N/A"
"UTM Zone 10","4,008,589.899","657,401.877","01 02 04.52","0.99990527","N/A"
