"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,008,589.899","657,401.877","01 02 04.52","0.99990527","N/A"
"UTM Zone 10","3,999,585.961","665,227.377","01 04 57.98","0.99993639","N/A"
"UTM Zone 10","3,995,493.691","668,164.491","01 06 01.87","0.99994845","N/A"
"UTM Zone 10","3,988,739.148","674,050.830","01 08 11.31","0.99997328","N/A"
"UTM Zone 10","3,978,370.680","680,127.457","01 10 19.56","0.99999981","N/A"
"UTM Zone 10","3,973,332.940","683,502.461","01 11 31.40","1.00001494","N/A"
"UTM Zone 10","3,965,107.253","689,411.125","01 13 37.42","1.00004210","N/A"
"UTM Zone 10","3,955,890.866","697,043.754","01 16 21.26","1.00007846","N/A"
"UTM Zone 10","3,951,477.650","701,191.107","01 17 50.76","1.00009882","N/A"
"UTM Zone 10","3,946,881.041","706,597.094","01 19 48.83","1.00012599","N/A"
"UTM Zone 10","3,939,036.422","711,170.954","01 21 22.01","1.00014955","N/A"
"UTM Zone 10","3,932,770.789","714,397.480","01 22 26.22","1.00016648","N/A"
"UTM Zone 10","3,927,062.269","716,160.752","01 22 57.40","1.00017585","N/A"
"UTM Zone 10","3,921,599.319","718,882.300","01 23 50.86","1.00019045","N/A"
"UTM Zone 10","3,917,297.853","721,593.729","01 24 45.82","1.00020517","N/A"
"UTM Zone 10","3,909,386.858","727,920.213","01 26 57.08","1.00024024","N/A"
