"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,226,345.447","546,988.245","00 19 54.05","0.99962719","N/A"
"UTM Zone 10","4,227,580.344","545,807.683","00 19 24.52","0.99962584","N/A"
"UTM Zone 10","4,228,889.411","544,966.779","00 19 03.63","0.99962490","N/A"
"UTM Zone 10","4,235,873.826","539,994.283","00 16 59.47","0.99961970","N/A"
"UTM Zone 10","4,240,155.070","535,814.044","00 15 14.18","0.99961580","N/A"
"UTM Zone 10","4,246,155.701","531,524.028","00 13 26.24","0.99961224","N/A"
"UTM Zone 10","4,251,252.117","528,535.590","00 12 11.01","0.99961003","N/A"
"UTM Zone 10","4,257,757.073","525,679.901","00 10 59.24","0.99960812","N/A"
"UTM Zone 10","4,263,846.193","520,915.686","00 08 57.99","0.99960539","N/A"
"UTM Zone 10","4,270,212.178","516,238.824","00 06 58.55","0.99960325","N/A"
"UTM Zone 10","4,276,578.053","511,561.286","00 04 58.60","0.99960165","N/A"
"UTM Zone 10","4,283,500.877","505,943.110","00 02 33.84","0.99960043","N/A"
"UTM Zone 10","4,290,423.716","500,324.064","00 00 08.41","0.99960000","N/A"
