"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,194,385.532","529,440.243","00 12 20.44","0.99961067","N/A"
"UTM Zone 10","4,198,689.429","526,189.204","00 10 59.60","0.99960845","N/A"
"UTM Zone 10","4,208,551.645","519,729.419","00 08 18.49","0.99960479","N/A"
"UTM Zone 10","4,216,663.681","513,244.180","00 05 35.51","0.99960216","N/A"
"UTM Zone 10","4,222,034.999","509,229.312","00 03 54.21","0.99960105","N/A"
"UTM Zone 10","4,230,936.640","502,774.597","00 01 10.61","0.99960009","N/A"
"UTM Zone 10","4,235,634.075","499,938.767","-00 00 01.56","0.99960000","N/A"
"UTM Zone 10","4,246,568.686","493,021.870","-00 02 58.49","0.99960060","N/A"
"UTM Zone 10","4,251,095.058","489,624.240","-00 04 25.79","0.99960133","N/A"
"UTM Zone 10","4,261,300.176","481,087.606","-00 08 06.06","0.99960440","N/A"
"UTM Zone 10","4,266,229.412","477,151.547","-00 09 48.15","0.99960643","N/A"
"UTM Zone 10","4,271,439.998","472,971.333","-00 11 36.93","0.99960900","N/A"
"UTM Zone 10","4,277,520.249","468,320.474","-00 13 38.44","0.99961236","N/A"
"UTM Zone 10","4,285,379.336","462,366.836","-00 16 14.71","0.99961744","N/A"
"UTM Zone 10","4,290,893.179","457,981.180","-00 18 10.23","0.99962174","N/A"
"UTM Zone 10","4,295,577.921","454,636.128","-00 19 38.79","0.99962534","N/A"
"UTM Zone 10","4,303,585.697","448,814.688","-00 22 13.48","0.99963226","N/A"
"UTM Zone 10","4,310,334.612","444,494.663","-00 24 09.16","0.99963794","N/A"
"UTM Zone 10","4,317,083.491","440,174.059","-00 26 05.34","0.99964407","N/A"
"UTM Zone 10","4,322,444.337","436,839.752","-00 27 35.42","0.99964912","N/A"
"UTM Zone 10","4,333,483.996","431,263.705","-00 30 07.94","0.99965817","N/A"
