"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,333,483.996","431,263.705","-00 30 07.94","0.99965817","N/A"
"UTM Zone 10","4,339,666.926","429,276.577","-00 31 03.89","0.99966159","N/A"
"UTM Zone 10","4,348,588.538","426,228.829","-00 32 29.77","0.99966701","N/A"
"UTM Zone 10","4,353,655.158","425,417.344","-00 32 54.42","0.99966849","N/A"
"UTM Zone 10","4,361,312.693","421,996.156","-00 34 30.04","0.99967491","N/A"
"UTM Zone 10","4,370,476.502","420,016.980","-00 35 28.79","0.99967876","N/A"
"UTM Zone 10","4,376,179.978","418,582.895","-00 36 10.90","0.99968161","N/A"
"UTM Zone 10","4,388,498.260","417,456.364","-00 36 49.62","0.99968388","N/A"
"UTM Zone 10","4,401,753.472","415,608.285","-00 37 48.67","0.99968768","N/A"
"UTM Zone 10","4,415,007.366","413,760.092","-00 38 48.17","0.99969156","N/A"
"UTM Zone 10","4,422,947.520","411,685.174","-00 39 50.22","0.99969602","N/A"
"UTM Zone 10","4,430,887.338","409,610.095","-00 40 52.57","0.99970058","N/A"
"UTM Zone 10","4,433,863.515","407,672.222","-00 41 47.51","0.99970494","N/A"
"UTM Zone 10","4,436,049.797","407,178.548","-00 42 02.68","0.99970606","N/A"
"UTM Zone 10","4,438,303.948","405,511.087","-00 42 49.83","0.99970991","N/A"
"UTM Zone 10","4,439,750.569","403,824.153","-00 43 36.90","0.99971387","N/A"
"UTM Zone 10","4,442,872.030","398,651.191","-00 46 00.36","0.99972644","N/A"
"UTM Zone 10","4,450,076.426","390,731.182","-00 49 42.84","0.99974698","N/A"
"UTM Zone 10","4,453,243.707","385,940.497","-00 51 56.71","0.99976015","N/A"
"UTM Zone 10","4,455,085.995","382,515.536","-00 53 32.14","0.99976991","N/A"
"UTM Zone 10","4,456,715.689","379,502.222","-00 54 56.21","0.99977874","N/A"
"UTM Zone 10","4,457,785.892","377,102.786","-00 56 02.96","0.99978593","N/A"
