"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,114,767.800","588,597.917","00 36 11.17","0.99969669","N/A"
"UTM Zone 10","4,119,957.913","583,920.454","00 34 20.05","0.99968675","N/A"
"UTM Zone 10","4,126,191.939","578,372.662","00 32 07.80","0.99967566","N/A"
"UTM Zone 10","4,130,319.920","573,920.100","00 30 20.74","0.99966731","N/A"
"UTM Zone 10","4,134,191.710","570,663.597","00 29 02.73","0.99966151","N/A"
"UTM Zone 10","4,142,096.916","564,920.216","00 26 45.23","0.99965191","N/A"
"UTM Zone 10","4,152,191.412","556,915.727","00 23 31.96","0.99963990","N/A"
"UTM Zone 10","4,164,191.971","548,945.749","00 20 19.00","0.99962951","N/A"
"UTM Zone 10","4,170,191.507","543,885.554","00 18 15.11","0.99962372","N/A"
"UTM Zone 10","4,175,191.518","540,072.948","00 16 41.60","0.99961978","N/A"
"UTM Zone 10","4,187,108.050","533,453.644","00 13 59.40","0.99961378","N/A"
"UTM Zone 10","4,194,385.532","529,440.243","00 12 20.44","0.99961067","N/A"
