"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,114,767.800","588,597.917","00 36 11.17","0.99969669","N/A"
"UTM Zone 10","4,112,887.486","590,920.430","00 37 06.71","0.99970183","N/A"
"UTM Zone 10","4,105,927.465","598,920.140","00 40 17.08","0.99972054","N/A"
"UTM Zone 10","4,101,904.439","604,920.004","00 42 40.28","0.99973561","N/A"
"UTM Zone 10","4,098,192.202","609,934.051","00 44 39.34","0.99974888","N/A"
"UTM Zone 10","4,094,191.421","613,001.737","00 45 50.49","0.99975731","N/A"
"UTM Zone 10","4,088,321.477","618,919.805","00 48 08.94","0.99977422","N/A"
"UTM Zone 10","4,085,191.670","623,233.869","00 49 50.64","0.99978709","N/A"
"UTM Zone 10","4,077,567.627","631,920.470","00 53 13.38","0.99981440","N/A"
"UTM Zone 10","4,074,218.188","635,920.035","00 54 46.54","0.99982760","N/A"
