"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,199,071.367","525,922.611","00 10 52.96","0.99960828","N/A"
"UTM Zone 10","4,194,299.025","527,862.338","00 11 40.74","0.99960956","N/A"
"UTM Zone 10","4,189,297.049","529,986.360","00 12 32.94","0.99961107","N/A"
"UTM Zone 10","4,181,974.578","532,959.399","00 13 45.62","0.99961338","N/A"
"UTM Zone 10","4,174,982.811","535,411.030","00 14 45.02","0.99961544","N/A"
"UTM Zone 10","4,167,990.451","537,862.170","00 15 44.14","0.99961766","N/A"
"UTM Zone 10","4,161,003.487","540,331.548","00 16 43.43","0.99962004","N/A"
"UTM Zone 10","4,153,020.226","542,871.103","00 17 43.85","0.99962264","N/A"
"UTM Zone 10","4,142,031.956","549,456.899","00 20 22.88","0.99963013","N/A"
"UTM Zone 10","4,137,004.117","551,515.974","00 21 11.71","0.99963269","N/A"
"UTM Zone 10","4,130,200.421","553,720.176","00 22 03.18","0.99963555","N/A"
"UTM Zone 10","4,123,396.091","555,923.909","00 22 54.41","0.99963852","N/A"
"UTM Zone 10","4,113,252.997","560,799.439","00 24 49.29","0.99964554","N/A"
"UTM Zone 10","4,104,838.864","564,947.755","00 26 26.53","0.99965196","N/A"
"UTM Zone 10","4,093,760.288","567,387.759","00 27 20.18","0.99965594","N/A"
"UTM Zone 10","4,086,507.016","570,812.428","00 28 39.44","0.99966177","N/A"
"UTM Zone 10","4,079,596.994","573,495.410","00 29 40.54","0.99966654","N/A"
