"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,001,893.077","616,595.081","00 45 53.23","0.99976750","N/A"
"UTM Zone 10","4,012,170.201","610,129.332","00 43 29.42","0.99974944","N/A"
"UTM Zone 10","4,022,048.124","600,380.097","00 39 46.23","0.99972415","N/A"
"UTM Zone 10","4,030,507.954","594,203.449","00 37 25.67","0.99970934","N/A"
"UTM Zone 10","4,037,676.136","591,305.841","00 36 21.75","0.99970271","N/A"
"UTM Zone 10","4,044,843.480","588,407.492","00 35 17.49","0.99969629","N/A"
"UTM Zone 10","4,050,244.843","585,962.527","00 34 22.59","0.99969104","N/A"
"UTM Zone 10","4,055,740.179","583,758.315","00 33 33.34","0.99968643","N/A"
"UTM Zone 10","4,060,837.757","582,133.320","00 32 57.59","0.99968311","N/A"
"UTM Zone 10","4,069,189.059","577,940.971","00 31 21.81","0.99967484","N/A"
"UTM Zone 10","4,074,111.507","575,717.594","00 30 31.08","0.99967063","N/A"
"UTM Zone 10","4,079,596.994","573,495.410","00 29 40.54","0.99966654","N/A"
