"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,222,163.210","563,032.726","00 26 39.57","0.99964893","N/A"
"UTM Zone 10","4,222,691.401","562,746.477","00 26 32.58","0.99964849","N/A"
"UTM Zone 10","4,224,920.253","562,405.140","00 26 25.06","0.99964796","N/A"
"UTM Zone 10","4,228,818.241","561,068.796","00 25 53.07","0.99964593","N/A"
"UTM Zone 10","4,230,153.180","560,778.602","00 25 46.36","0.99964549","N/A"
"UTM Zone 10","4,230,662.668","560,354.598","00 25 35.83","0.99964486","N/A"
"UTM Zone 10","4,233,505.294","559,264.083","00 25 09.47","0.99964325","N/A"
"UTM Zone 10","4,236,605.311","557,992.264","00 24 38.56","0.99964142","N/A"
"UTM Zone 10","4,239,048.711","557,363.489","00 24 23.68","0.99964052","N/A"
"UTM Zone 10","4,241,719.429","557,333.168","00 24 24.17","0.99964048","N/A"
"UTM Zone 10","4,243,575.795","556,216.153","00 23 56.50","0.99963892","N/A"
