"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,201,938.624","575,290.655","00 31 38.13","0.99966982","N/A"
"UTM Zone 10","4,202,817.644","575,190.330","00 31 36.14","0.99966963","N/A"
"UTM Zone 10","4,203,751.961","575,310.854","00 31 39.76","0.99966985","N/A"
"UTM Zone 10","4,204,521.987","575,303.761","00 31 40.05","0.99966984","N/A"
"UTM Zone 10","4,206,874.690","574,362.824","00 31 17.74","0.99966811","N/A"
"UTM Zone 10","4,209,241.097","572,834.205","00 30 40.56","0.99966533","N/A"
"UTM Zone 10","4,211,666.042","571,875.422","00 30 17.76","0.99966362","N/A"
"UTM Zone 10","4,212,336.747","571,171.105","00 30 00.34","0.99966238","N/A"
"UTM Zone 10","4,214,653.152","570,343.033","00 29 40.73","0.99966094","N/A"
"UTM Zone 10","4,217,118.765","570,083.231","00 29 35.57","0.99966049","N/A"
"UTM Zone 10","4,219,178.016","569,275.636","00 29 16.28","0.99965910","N/A"
"UTM Zone 10","4,221,559.637","567,732.184","00 28 38.48","0.99965650","N/A"
"UTM Zone 10","4,224,137.997","565,785.011","00 27 50.47","0.99965330","N/A"
