"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,287,460.992","679,973.704","01 17 42.58","0.99999888","N/A"
"UTM Zone 10","4,297,458.183","671,641.662","01 14 21.21","0.99996279","N/A"
"UTM Zone 10","4,307,454.703","663,307.704","01 10 58.42","0.99992841","N/A"
"UTM Zone 10","4,317,450.633","654,971.869","01 07 34.19","0.99989573","N/A"
"UTM Zone 10","4,325,922.491","650,021.659","01 05 35.45","0.99987713","N/A"
"UTM Zone 10","4,338,907.477","645,108.730","01 03 42.53","0.99985927","N/A"
"UTM Zone 10","4,344,610.075","642,356.770","01 02 36.93","0.99984953","N/A"
"UTM Zone 10","4,353,164.856","638,723.022","01 01 11.13","0.99983695","N/A"
"UTM Zone 10","4,361,718.937","635,088.495","00 59 44.80","0.99982469","N/A"
"UTM Zone 10","4,369,315.273","633,574.458","00 59 13.27","0.99981968","N/A"
"UTM Zone 10","4,376,911.027","632,060.057","00 58 41.55","0.99981472","N/A"
