"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,191,441.091","620,333.502","00 50 23.05","0.99977835","N/A"
"UTM Zone 10","4,190,413.423","621,390.453","00 50 48.58","0.99978149","N/A"
"UTM Zone 10","4,189,685.498","622,742.422","00 51 21.79","0.99978556","N/A"
"UTM Zone 10","4,188,716.008","624,545.417","00 52 06.06","0.99979105","N/A"
"UTM Zone 10","4,187,695.419","626,248.404","00 52 47.74","0.99979631","N/A"
"UTM Zone 10","4,185,984.391","628,207.346","00 53 35.09","0.99980245","N/A"
"UTM Zone 10","4,183,738.255","630,968.245","00 54 41.90","0.99981127","N/A"
"UTM Zone 10","4,182,027.158","632,926.485","00 55 29.10","0.99981763","N/A"
"UTM Zone 10","4,180,449.184","633,491.193","00 55 41.53","0.99981949","N/A"
"UTM Zone 10","4,175,721.391","635,681.899","00 56 31.13","0.99982675","N/A"
"UTM Zone 10","4,173,752.311","636,747.796","00 56 55.58","0.99983033","N/A"
