"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,115,853.510","559,554.831","00 24 20.04","0.99964369","N/A"
"UTM Zone 10","4,113,875.192","564,354.347","00 26 16.67","0.99965102","N/A"
"UTM Zone 10","4,113,336.388","569,431.168","00 28 20.74","0.99965938","N/A"
"UTM Zone 10","4,107,691.708","582,971.187","00 33 48.62","0.99968480","N/A"
"UTM Zone 10","4,106,352.182","590,390.144","00 36 49.00","0.99970065","N/A"
"UTM Zone 10","4,099,707.013","598,990.321","00 40 13.89","0.99972071","N/A"
"UTM Zone 10","4,090,530.698","607,875.832","00 43 42.62","0.99974336","N/A"
"UTM Zone 10","4,087,452.068","611,854.177","00 45 16.57","0.99975413","N/A"
"UTM Zone 10","4,082,256.307","617,562.404","00 47 30.31","0.99977026","N/A"
"UTM Zone 10","4,077,659.698","622,092.530","00 49 15.66","0.99978364","N/A"
"UTM Zone 10","4,074,659.705","628,170.644","00 51 39.69","0.99980238","N/A"
"UTM Zone 10","4,073,762.468","636,568.043","00 55 01.71","0.99982977","N/A"
